loss,mae,val_loss,val_mae
178.8827667236328,7.26253604888916,6.569800853729248,2.074744462966919
9.601407051086426,2.3701140880584717,10.232805252075195,2.6804893016815186
7.026936054229736,2.0494537353515625,9.600123405456543,2.5843098163604736
6.1457929611206055,1.9411789178848267,11.293782234191895,2.8449811935424805
5.773442268371582,1.8909287452697754,11.3189058303833,2.8538875579833984
5.475743293762207,1.8429994583129883,8.698878288269043,2.4493064880371094
5.190634727478027,1.7975943088531494,9.896576881408691,2.6500139236450195
5.015317440032959,1.7660611867904663,9.248237609863281,2.5580527782440186
4.804294586181641,1.7247730493545532,10.6691255569458,2.797938346862793
4.549314022064209,1.68399178981781,12.938756942749023,3.159970283508301
4.283541202545166,1.6298742294311523,7.599261283874512,2.3454718589782715
4.012948989868164,1.5776617527008057,7.465002059936523,2.3489458560943604
3.770195722579956,1.5316219329833984,7.00412654876709,2.2867989540100098
3.6222429275512695,1.5012874603271484,7.214120388031006,2.332061290740967
3.5199077129364014,1.4825294017791748,7.596730709075928,2.406827926635742
3.4237043857574463,1.4624353647232056,7.3235883712768555,2.3633463382720947
3.350106716156006,1.4434797763824463,7.265275001525879,2.3605148792266846
3.3107757568359375,1.4336682558059692,8.151398658752441,2.5094683170318604
3.2913081645965576,1.4295450448989868,6.892126083374023,2.286787748336792
3.2548258304595947,1.4239466190338135,8.265408515930176,2.5307083129882812
